ID,Title,Content,Excerpt,Date,"Post Type",Permalink,"Image URL","Image Title","Image Caption","Image Description","Image Alt Text","Image Featured","Attachment URL","Adventure Categories","Adventure Subcategories",_thumbnail_id,_wp_page_template,_wp_trash_meta_status,_wp_trash_meta_time,_wp_desired_post_slug,Status,"Author ID","Author Username","Author Email","Author First Name","Author Last Name",Slug,Format,Template,Parent,"Parent Slug",Order,"Comment Status","Ping Status","Post Modified Date","Custom URI","Show Sidebar","Show Date","Show Featured Image","Blog Category","Event Location","Date Logic","Event Date","Event Time","Events are Clickable","Testimonial Author","Testimonial Company","Phone Number","Reservations Number","Fax Number","Street Address","Featured Image Crop","Custom Crop Height","Show Main Menu","Show Social Media","Show Phone","Show Fax","Show Address","Footer Logo","Footer Copyright Text","Header Layout","Header Logo","Show Phone","Show Search","Read More Button Label","No Results Error Message","Page Not Found - Title","Page Not Found	- Message","Show Side Filters","Promo Text Area","Promo Side Image","Promo Background Image",Weather,Wind,"Air Temp","Moon Phase","Sunrise / Sunset","Adventure Category","Adventure Subcategory","Adventure External URL","FAQ Category","Page Hero","Hero Layout","Disable Wave Spacing","Hero H1","Hero H2","Hero CTA","Hero Background Image",Image,"Image Crop","Text Alignment","Headline Size",Headline,Subheadline,"Text Area",Button,"Row Settings","Custom CSS Class","Background Image","Background Color","Text Color","Disable Top Spacing","Disable Bottom Spacing","Disable Top Wave","Manually Hide Bottom Wave Space","Flexible Fields"
2361,"Full-Day Reef Fishing with BBQ Lunch",,"Fish in the Barrier Reef ","2025-02-06 18:14:21",adventures,https://el-pescador-lodge-and-villas.lndo.site/adventures/full-day-reef-fishing-with-bbq-lunch/,https://el-pescador-lodge-and-villas.lndo.site/wp-content/uploads/2025/02/5c30bd8232c18734a003d203_5c25508d77f2834b739c7220_act-reef-fishing-om-5469-1.jpeg,5c30bd8232c18734a003d203_5c25508d77f2834b739c7220_act-reef-fishing-om-5469,,,,https://el-pescador-lodge-and-villas.lndo.site/wp-content/uploads/2025/02/5c30bd8232c18734a003d203_5c25508d77f2834b739c7220_act-reef-fishing-om-5469-1.jpeg,,Sea,"Reef Fishing Courses",2510,,,,,publish,1,admin,it@straightnorth.com,,,full-day-reef-fishing-with-bbq-lunch,,,0,0,32,closed,closed,"2025-02-06 21:21:32",adventures/full-day-reef-fishing-with-bbq-lunch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sea,"Reef Fishing Courses",https://go.theflybook.com/book/1360/ListView/0#/base/1360/560f64ab-f70d-432c-8e29-07a94ec29287/config/29443/29450/activity,,,,,,,,,,,,,,,,,,,,,,,,,,
2363,"½ Day Snorkeling to Mexico Rocks",,"Explore Marine Life","2025-02-06 18:14:40",adventures,https://el-pescador-lodge-and-villas.lndo.site/adventures/%c2%bd-day-snorkeling-to-mexico-rocks/,,,,,,,,Sea,"Snorkeling Courses",,,,,,publish,1,admin,it@straightnorth.com,,,%c2%bd-day-snorkeling-to-mexico-rocks,,,0,0,31,closed,closed,"2025-02-06 21:17:17",adventures/½-day-snorkeling-to-mexico-rocks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sea,"Snorkeling Courses",https://go.theflybook.com/book/1360/ListView/0#/base/1360/560f64ab-f70d-432c-8e29-07a94ec29287/config/29466/29493/activity,,,,,,,,,,,,,,,,,,,,,,,,,,
2365,"Mexico Rocks Sailing with Private Charter, Snorkeling, and BBQ lunch",,"Travel the Island ","2025-02-06 18:14:57",adventures,https://el-pescador-lodge-and-villas.lndo.site/adventures/mexico-rocks-sailing-with-private-charter-snorkeling-and-bbq-lunch/,https://el-pescador-lodge-and-villas.lndo.site/wp-content/uploads/2025/02/5c30bd81cb585f8d0744d665_5c2a54741110ec093404839d_act_mrocks_as_174911947-1.jpeg,5c30bd81cb585f8d0744d665_5c2a54741110ec093404839d_act_mrocks_as_174911947,,,,https://el-pescador-lodge-and-villas.lndo.site/wp-content/uploads/2025/02/5c30bd81cb585f8d0744d665_5c2a54741110ec093404839d_act_mrocks_as_174911947-1.jpeg,,Sea,"Sailing Courses|Snorkeling Courses",2509,,,,,publish,1,admin,it@straightnorth.com,,,mexico-rocks-sailing-with-private-charter-snorkeling-and-bbq-lunch,,,0,0,30,closed,closed,"2025-02-06 21:20:22",adventures/mexico-rocks-sailing-with-private-charter-snorkeling-and-bbq-lunch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sea,"Sailing Courses|Snorkeling Courses",https://go.theflybook.com/book/1360/ListView/0#/base/1360/560f64ab-f70d-432c-8e29-07a94ec29287/config/29470/29497/activity,,,,,,,,,,,,,,,,,,,,,,,,,,
2367,"½ Day Snorkeling to Hol Chan & Shark Ray Alley",,"See Sharks Up Close ","2025-02-06 18:15:12",adventures,https://el-pescador-lodge-and-villas.lndo.site/adventures/%c2%bd-day-snorkeling-to-hol-chan-shark-ray-alley/,,,,,,,,Sea,"Snorkeling Courses",,,,,,publish,1,admin,it@straightnorth.com,,,%c2%bd-day-snorkeling-to-hol-chan-shark-ray-alley,,,0,0,29,closed,closed,"2025-02-06 21:17:02",adventures/½-day-snorkeling-to-hol-chan-shark-ray-alley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sea,"Snorkeling Courses",https://go.theflybook.com/book/1360/ListView/0#/base/1360/560f64ab-f70d-432c-8e29-07a94ec29287/config/29467/29494/activity,,,,,,,,,,,,,,,,,,,,,,,,,,
2369,"Caye Caulker Sailing & Snorkeling",,"Visit Caye Caulker Island ","2025-02-06 18:15:23",adventures,https://el-pescador-lodge-and-villas.lndo.site/adventures/caye-caulker-sailing-snorkeling/,https://el-pescador-lodge-and-villas.lndo.site/wp-content/uploads/2025/02/5c30bd841213429e30022db1_5c2553f8fd28a74615ee9b1e_act-snorkeling-holchan-om-5590-1.jpeg,5c30bd841213429e30022db1_5c2553f8fd28a74615ee9b1e_act-snorkeling-holchan-om-5590,,,,https://el-pescador-lodge-and-villas.lndo.site/wp-content/uploads/2025/02/5c30bd841213429e30022db1_5c2553f8fd28a74615ee9b1e_act-snorkeling-holchan-om-5590-1.jpeg,,Sea,"Sailing Courses|Snorkeling Courses",2511,,,,,publish,1,admin,it@straightnorth.com,,,caye-caulker-sailing-snorkeling,,,0,0,28,closed,closed,"2025-02-06 21:22:40",adventures/caye-caulker-sailing-snorkeling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sea,"Sailing Courses|Snorkeling Courses",https://go.theflybook.com/book/1360/ListView/0#/base/1360/560f64ab-f70d-432c-8e29-07a94ec29287/config/29469/29496/activity,,,,,,,,,,,,,,,,,,,,,,,,,,
2371,"Sunset Sailing",,"Sail at Dusk","2025-02-06 18:15:33",adventures,https://el-pescador-lodge-and-villas.lndo.site/adventures/sunset-sailing/,,,,,,,,Sea,"Sailing Courses",,,,,,publish,1,admin,it@straightnorth.com,,,sunset-sailing,,,0,0,27,closed,closed,"2025-02-06 21:13:36",adventures/sunset-sailing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sea,"Sailing Courses",https://go.theflybook.com/book/1360/ListView/0#/base/1360/560f64ab-f70d-432c-8e29-07a94ec29287/config/29472/29499/activity,,,,,,,,,,,,,,,,,,,,,,,,,,
2373,"Coral Gardens & North Channel (Manatee Watch, Tarpon Feeding & Watch Sea Horses)",,"See Garden Views & Ocean Life","2025-02-06 18:15:42",adventures,https://el-pescador-lodge-and-villas.lndo.site/adventures/coral-gardens-north-channel-manatee-watch-tarpon-feeding-watch-sea-horses/,,,,,,,,Sea,"Reef Fishing Courses",,,,,,publish,1,admin,it@straightnorth.com,,,coral-gardens-north-channel-manatee-watch-tarpon-feeding-watch-sea-horses,,,0,0,26,closed,closed,"2025-02-06 21:19:19",adventures/coral-gardens-north-channel-manatee-watch-tarpon-feeding-watch-sea-horses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sea,"Reef Fishing Courses",https://go.theflybook.com/book/1360/ListView/0#/base/1360/560f64ab-f70d-432c-8e29-07a94ec29287/config/29473/29500/activity,,,,,,,,,,,,,,,,,,,,,,,,,,
2375,"Blue Hole Diving Tour",,"Experience the Ultimate Dive","2025-02-06 18:15:53",adventures,https://el-pescador-lodge-and-villas.lndo.site/adventures/blue-hole-diving-tour/,,,,,,,,Sea,"Scuba Diving Courses",,,,,,publish,1,admin,it@straightnorth.com,,,blue-hole-diving-tour,,,0,0,25,closed,closed,"2025-02-06 21:14:05",adventures/blue-hole-diving-tour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sea,"Scuba Diving Courses",https://go.theflybook.com/book/1360/ListView/0#/base/1360/560f64ab-f70d-432c-8e29-07a94ec29287/config/29474/29501/activity,,,,,,,,,,,,,,,,,,,,,,,,,,
2377,"Blue Hole Snorkeling Tour",,"Explore the Depths of Blue Hole ","2025-02-06 18:16:03",adventures,https://el-pescador-lodge-and-villas.lndo.site/adventures/blue-hole-snorkeling-tour/,,,,,,,,Sea,"Snorkeling Courses",,,,,,publish,1,admin,it@straightnorth.com,,,blue-hole-snorkeling-tour,,,0,0,24,closed,closed,"2025-02-06 21:14:15",adventures/blue-hole-snorkeling-tour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sea,"Snorkeling Courses",https://go.theflybook.com/book/1360/ListView/0#/base/1360/560f64ab-f70d-432c-8e29-07a94ec29287/config/29475/29503/activity,,,,,,,,,,,,,,,,,,,,,,,,,,
2379,"1 Tank Local Dive",,"Single Dive Adventure","2025-02-06 18:16:13",adventures,https://el-pescador-lodge-and-villas.lndo.site/adventures/1-tank-local-dive/,,,,,,,,Sea,"Snorkeling Courses",,,,,,publish,1,admin,it@straightnorth.com,,,1-tank-local-dive,,,0,0,21,closed,closed,"2025-02-06 21:14:25",adventures/1-tank-local-dive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sea,"Snorkeling Courses",https://go.theflybook.com/book/1360/ListView/0#/base/1360/560f64ab-f70d-432c-8e29-07a94ec29287/config/29476/29504/activity,,,,,,,,,,,,,,,,,,,,,,,,,,
2381,"2 Tank Local Dive",,"2 Dive Adventure","2025-02-06 18:16:24",adventures,https://el-pescador-lodge-and-villas.lndo.site/adventures/2-tank-local-dive/,,,,,,,,Sea,"Snorkeling Courses",,,,,,publish,1,admin,it@straightnorth.com,,,2-tank-local-dive,,,0,0,22,closed,closed,"2025-02-06 21:14:33",adventures/2-tank-local-dive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sea,"Snorkeling Courses",https://go.theflybook.com/book/1360/ListView/0#/base/1360/560f64ab-f70d-432c-8e29-07a94ec29287/config/29477/29505/activity,,,,,,,,,,,,,,,,,,,,,,,,,,
2383,"3 Tank Local Dive",,"3 Dive Adventure","2025-02-06 18:16:36",adventures,https://el-pescador-lodge-and-villas.lndo.site/adventures/3-tank-local-dive/,,,,,,,,Sea,"Snorkeling Courses",,,,,,publish,1,admin,it@straightnorth.com,,,3-tank-local-dive,,,0,0,23,closed,closed,"2025-02-06 21:14:40",adventures/3-tank-local-dive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sea,"Snorkeling Courses",https://go.theflybook.com/book/1360/ListView/0#/base/1360/560f64ab-f70d-432c-8e29-07a94ec29287/config/29478/29506/activity,,,,,,,,,,,,,,,,,,,,,,,,,,
